Pays/continent	Masculin	Féminin
Chypre	chypriote	chypriote
Cuba	cubain	cubaine
l'Afrique	africain	africaine
l'Algérie	algérien	algérienne
l'Allemagne	allemand	allemande
l'Angleterre	anglais	anglaise
l'Argentine	argentin	argentine
l'Asie	asiatique	asiatique
l'Australie	australien	australienne
l'Autriche	autrichien	autrichienne
l'Égypte	égyptien	égyptienne
l'Équateur	équatorien	équatorienne
l'Espagne	espagnol	espagnole
l'Estonie	estonien	estonienne
l'Europe	européen	européenne
l'Inde	indien	indienne
l'Indonésie	indonésien	indonésienne
l'Irlande	irlandais	irlandaise
l'Italie	italien	italienne
l'Océanie	océanien	océanienne
l'Uruguay	uruguayen	uruguayenne
la Belgique	belge	belge
la Bolivie	bolivien	bolivienne
la Bulgarie	bulgare	bulgare
la Chine	chinois	chinoise
la Colombie	colombien	colombienne
la Corée	coréen	coréenne
la Finlande	finlandais / finnois	finlandaise / finnoise
la France	français	française
la Grèce	grec	grecque
la Hongrie	hongrois	hongroise
la Jamaïque	jamaïcain	jamaïcaine
la Lettonie	letton	lettonne
la Lituanie	lituanien	lituanienne
la Norvège	norvégien	norvégienne
la Nouvelle-Calédonie	néo-calédonien	néo-calédonienne
la Nouvelle-Zélande	néo-zélandais	néo-zélandaise
la Pologne	polonais	polonaise
la République démocratique du Congo	congolais	congolaise
la République Dominicaine	dominicain	dominicaine
la République Tchèque	tchèque	tchèque
la Roumanie	roumain	roumaine
la Russie	russe	russe
la Suède	suédois	suédoise
la Suisse	suisse	suisse / suissesse
la Syrie	syrien	syrienne
la Tunisie	tunisien	tunisienne
la Turquie	turc	turque
le Brésil	brésilien	brésilienne
le Cameroun	camerounais	camerounaise
le Canada	canadien	canadienne
le Chili	chilien	chilienne
le Costa Rica	costaricien	costaricienne
le Danemark	danois	danoise
le Guatemala	guatémaltèque	guatémaltèque
le Honduras	hondurien	hondurienne
le Japon	japonais	japonaise
le Luxembourg	luxembourgeois	luxembourgeoise
le Maroc	marocain	marocaine
le Mexique	mexicain	mexicaine
le Pakistan	pakistanais	pakistanaise
le Panama	panaméen	panaméenne
le Paraguay	paraguayen	paraguayenne
le Pérou	péruvien	péruvienne
le Porto Rico	portoricain	portoricaine
le Portugal	portugais	portugaise
le Salvador	salvadorien	salvadorienne
le Venezuela	vénézuélien	vénézuélienne
le Viêt Nam	vietnamien	vietnamienne
les Amériques	américain	américaine
les États-Unis	américain / états-unien	américaine / états-unienne
les Pays-Bas / la Hollande	hollandais	hollandaise
les Philippines	philippin	philippine
Malte	maltais	maltaise
Tahiti	tahitien	tahitienne